1,Ricardo,Valencia,1234567890,18,3146420637,rvalencia@allay.com,asd,Dueño,Habilitado,2146483647
2,Jose,Villa,1234567890,18,3222756172,jvilla@allayt.com,cp123,Administrador,Habilitado,70000000
3,Ismael,Viloria,32456785,17,3002777208,iviloria@allay.com,soyflojo123,Administrador,Habilitado,70000000
4,Joselito,Martinez,762783422,21,314877223,payasitoPerez234@gmail.com,lostresRenacuajos123,Usuario,Habilitado,67000
5,Mateo,López,82946627,36,3190223293,mlópez@gmail.com,ma140LÓ20,Usuario,Habilitado,174790
6,Carlos,López,81925557,57,3001861306,clópez@hotmail.com,ca968LÓ39,Usuario,Habilitado,253727
7,Lucía,Gómez,98632034,52,3177747395,lgómez@allay.com,lu645GÓ28,Usuario,Habilitado,107413
8,Laura,López,33143480,46,3015856644,llópez@correo.com,la187LÓ19,Usuario,Habilitado,108622
9,Daniel,López,30944555,36,3034057772,dlópez@allay.com,da286LÓ21,Usuario,Habilitado,296546
10,Juan,Rodríguez,46847215,31,3101201821,jrodríguez@allayt.com,ju715RO93,Usuario,Habilitado,340570
11,Andrés,Díaz,49421278,21,3006717302,adíaz@correo.com,an919DÍ55,Usuario,Habilitado,349850
12,Valentina,Gómez,73005942,54,3078297838,vgómez@allay.com,va164GÓ84,Usuario,Habilitado,283408
13,Juan,Gómez,47349740,54,3080750630,jgómez@allayt.com,ju361GÓ12,Usuario,Habilitado,348690
14,Sofía,Torres,35471168,40,3027068033,storres@hotmail.com,so344TO15,Usuario,Habilitado,320241
15,Valentina,Rodríguez,20170348,48,3204435821,vrodríguez@gmail.com,va547RO87,Usuario,Sancionado,424649
16,Juan,Torres,61297729,28,3206039132,jtorres@allayt.com,ju287TO73,Usuario,Habilitado,121808
17,Juan,López,30928923,29,3242746295,jlópez@correo.com,ju998LÓ27,Usuario,Habilitado,66691
18,Daniel,Gómez,59639966,46,3100290948,dgómez@hotmail.com,da927GÓ44,Usuario,Habilitado,343600
